role,skills
Data Scientist,"Python SQL Machine Learning Statistics Pandas NumPy Data Analysis Visualization Scikit-learn Jupyter"
DevOps Engineer,"AWS Docker Kubernetes CI/CD Jenkins Automation Linux Terraform Cloud Monitoring Git"
Backend Developer,"Java Python SQL APIs Spring Boot Node.js Databases REST Microservices Git"
Frontend Developer,"JavaScript React CSS HTML TypeScript UI Design Web Design Redux Webpack Figma"
Cloud Architect,"AWS Azure Cloud Computing Networking Security Terraform Automation Kubernetes Docker Scalability"
Machine Learning Engineer,"Python Machine Learning Deep Learning TensorFlow PyTorch Data Structures Algorithms MLOps Statistics"
Full Stack Developer,"JavaScript React Node.js Python SQL APIs HTML CSS Git Databases REST"
Data Engineer,"Python SQL ETL Spark Hadoop Airflow Data Pipelines Cloud AWS Kafka Databases"
Cybersecurity Analyst,"Networking Security Linux Python Penetration Testing Firewalls Cryptography Risk Assessment SIEM"
Mobile Developer,"Java Kotlin Swift Flutter React Native Mobile UI APIs Git Firebase"
Systems Administrator,"Linux Networking Windows Server Automation Bash Scripting Monitoring Security Virtualization Git"
QA Automation Engineer,"Python Java Selenium Test Automation CI/CD Git Manual Testing Bug Tracking Quality Assurance"
AI Research Engineer,"Python Machine Learning Deep Learning Research Statistics PyTorch Neural Networks NLP Algorithms"
Database Administrator,"SQL Databases MySQL PostgreSQL Backup Recovery Performance Tuning Security Linux Cloud"
Site Reliability Engineer,"Linux Kubernetes Docker Automation Monitoring Cloud AWS CI/CD Scripting Incident Response"
UI/UX Designer,"Figma Web Design UI Design Prototyping User Research Wireframing CSS HTML Adobe XD"
Blockchain Developer,"Solidity JavaScript Cryptography Smart Contracts Ethereum Python Git Web3 Security"
Network Engineer,"Networking Cisco Security Firewalls Routing Switching Linux Automation Monitoring"
Product Manager,"Roadmapping Agile Stakeholder Management Analytics SQL Communication Prioritization Research"
Game Developer,"C++ Unity Unreal Engine Python Game Design 3D Graphics Physics Git Algorithms"
